                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.69081,                0.42556,                0.94153,                0.77229,                0.77728,                0.80278,                0.64421,                0.79942,                0.66091,                 1.0018,             0.00010594,             0.00010594,             0.00010594
                    123,                0.68854,                0.42663,                 0.9392,                0.77275,                0.77434,                0.80551,                0.64469,                 0.7999,                 0.6585,                 1.0024,             0.00010246,             0.00010246,             0.00010246
                    124,                0.68788,                0.42487,                0.94074,                0.80131,                0.76502,                0.80723,                0.64549,                0.79979,                0.65933,                 1.0015,             9.8993e-05,             9.8993e-05,             9.8993e-05
                    125,                0.68293,                0.41782,                0.93982,                0.79268,                0.77738,                0.80444,                0.64299,                0.79956,                0.66131,                 1.0016,             9.5522e-05,             9.5522e-05,             9.5522e-05
                    126,                0.68104,                0.42112,                0.93879,                0.80482,                0.75542,                0.80418,                 0.6434,                0.79924,                0.66067,                 1.0014,              9.205e-05,              9.205e-05,              9.205e-05
                    127,                0.67987,                0.41558,                0.93572,                0.79431,                 0.7602,                0.80067,                0.64217,                0.79833,                0.66511,                 1.0004,             8.8578e-05,             8.8578e-05,             8.8578e-05
                    128,                0.67884,                0.41544,                 0.9353,                 0.8071,                0.75921,                0.80457,                0.64328,                 0.7986,                0.66706,                 1.0006,             8.5107e-05,             8.5107e-05,             8.5107e-05
                    129,                0.67847,                0.41137,                0.93301,                0.80414,                0.76003,                0.80857,                0.64674,                 0.8011,                0.66516,                 1.0021,             8.1635e-05,             8.1635e-05,             8.1635e-05
                    130,                0.67535,                 0.4098,                0.93658,                0.81361,                0.75779,                0.80469,                0.64374,                0.80066,                0.66724,                 1.0016,             7.8164e-05,             7.8164e-05,             7.8164e-05
                    131,                0.67578,                0.41153,                0.93621,                0.81761,                 0.7502,                0.80549,                0.64537,                0.79964,                0.66801,                 1.0012,             7.4692e-05,             7.4692e-05,             7.4692e-05
                    132,                 0.6722,                0.40949,                0.93294,                0.79437,                0.76968,                0.80601,                0.64446,                0.80058,                0.66766,                 1.0017,              7.122e-05,              7.122e-05,              7.122e-05
                    133,                0.66894,                0.40831,                0.93299,                0.79824,                0.76786,                0.80511,                0.64515,                0.79988,                0.66838,                 1.0015,             6.7749e-05,             6.7749e-05,             6.7749e-05
                    134,                0.66616,                0.40435,                0.93415,                0.78379,                0.78385,                0.80509,                0.64483,                0.79921,                 0.6682,                 1.0013,             6.4277e-05,             6.4277e-05,             6.4277e-05
