                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.91141,                0.70448,                  1.029,                0.68556,                0.71818,                0.72566,                0.54903,                0.89246,                0.75763,                 1.0365,             0.00017884,             0.00017884,             0.00017884
                    102,                 0.9041,                0.69632,                 1.0307,                 0.6631,                 0.7269,                0.72175,                0.55459,                0.88375,                0.74735,                 1.0353,             0.00017537,             0.00017537,             0.00017537
                    103,                0.90183,                0.68955,                 1.0321,                0.73766,                0.69871,                0.73012,                0.55933,                0.88783,                0.75055,                  1.035,              0.0001719,              0.0001719,              0.0001719
                    104,                0.91001,                0.70103,                 1.0311,                 0.7385,                0.66676,                0.71492,                0.54562,                0.90125,                0.75122,                 1.0411,             0.00016843,             0.00016843,             0.00016843
                    105,                0.90222,                0.69515,                 1.0306,                0.66631,                0.72267,                0.72314,                0.55408,                0.88849,                0.74219,                 1.0327,             0.00016495,             0.00016495,             0.00016495
                    106,                0.90358,                0.68996,                 1.0272,                0.69422,                0.69538,                0.72447,                0.55765,                0.87465,                0.73688,                 1.0286,             0.00016148,             0.00016148,             0.00016148
                    107,                0.89829,                 0.6862,                 1.0265,                0.70921,                 0.6703,                0.71338,                0.55209,                0.88006,                0.73496,                 1.0295,             0.00015801,             0.00015801,             0.00015801
                    108,                0.89765,                0.68659,                 1.0254,                 0.7408,                0.66061,                 0.7161,                0.55336,                0.87883,                0.73415,                 1.0306,             0.00015454,             0.00015454,             0.00015454
                    109,                0.89482,                0.67938,                  1.025,                0.68383,                0.67363,                0.71469,                0.54815,                0.87906,                0.73789,                 1.0293,             0.00015107,             0.00015107,             0.00015107
                    110,                0.89073,                0.68272,                  1.025,                0.74977,                0.68221,                0.72336,                0.55623,                0.88239,                0.73411,                 1.0309,              0.0001476,              0.0001476,              0.0001476
                    111,                0.89131,                0.68026,                 1.0244,                0.71474,                0.67528,                 0.7219,                0.55874,                0.87754,                0.73063,                 1.0295,             0.00014412,             0.00014412,             0.00014412
                    112,                0.88792,                0.67356,                 1.0239,                0.68024,                0.70305,                0.71816,                0.55518,                0.87196,                0.73046,                 1.0264,             0.00014065,             0.00014065,             0.00014065
                    113,                0.88919,                0.67321,                  1.021,                0.67381,                0.71003,                0.72465,                0.55958,                0.87685,                0.72881,                 1.0303,             0.00013718,             0.00013718,             0.00013718
                    114,                0.89036,                0.67691,                 1.0242,                0.70267,                0.69957,                0.72104,                0.55438,                0.87876,                0.73285,                  1.031,             0.00013371,             0.00013371,             0.00013371
                    115,                0.88742,                0.66795,                 1.0199,                0.68868,                0.70844,                0.72694,                0.55998,                0.87374,                0.74179,                 1.0294,             0.00013024,             0.00013024,             0.00013024
                    116,                0.88647,                0.67075,                 1.0153,                0.69095,                0.70915,                0.72752,                0.55975,                0.87515,                0.72433,                 1.0268,             0.00012677,             0.00012677,             0.00012677
                    117,                0.88331,                0.66276,                 1.0184,                0.71843,                 0.7043,                0.73162,                0.56068,                0.87516,                0.72865,                 1.0281,             0.00012329,             0.00012329,             0.00012329
                    118,                0.88216,                0.66723,                 1.0186,                0.68164,                0.72349,                0.73092,                0.56018,                0.87664,                0.72525,                 1.0293,             0.00011982,             0.00011982,             0.00011982
                    119,                0.88183,                0.65964,                 1.0183,                0.68484,                0.74207,                0.73804,                0.56033,                0.87714,                0.72814,                 1.0278,             0.00011635,             0.00011635,             0.00011635
                    120,                0.88452,                0.66215,                 1.0192,                 0.6909,                0.70432,                0.73236,                0.56267,                0.87578,                0.72249,                 1.0288,             0.00011288,             0.00011288,             0.00011288
                    121,                0.87984,                0.66258,                 1.0209,                0.66297,                0.72394,                0.72781,                0.56074,                0.87949,                0.72097,                 1.0298,             0.00010941,             0.00010941,             0.00010941
                    122,                0.87377,                0.65515,                 1.0131,                0.67572,                0.70587,                0.72958,                0.56422,                0.87129,                0.72282,                 1.0271,             0.00010594,             0.00010594,             0.00010594
                    123,                0.87591,                0.65716,                  1.015,                0.71918,                0.69093,                0.72737,                0.55995,                0.87326,                0.72319,                 1.0267,             0.00010246,             0.00010246,             0.00010246
                    124,                 0.8756,                0.65132,                 1.0133,                0.67288,                0.72256,                0.73159,                0.55996,                0.87999,                 0.7293,                 1.0295,             9.8993e-05,             9.8993e-05,             9.8993e-05
                    125,                0.87415,                0.64884,                 1.0112,                0.71466,                0.70572,                0.73782,                0.56485,                0.87716,                0.72404,                 1.0294,             9.5522e-05,             9.5522e-05,             9.5522e-05
                    126,                0.87593,                0.65113,                 1.0119,                0.68045,                0.72278,                0.72974,                0.55922,                0.87981,                0.73105,                 1.0305,              9.205e-05,              9.205e-05,              9.205e-05
                    127,                0.87364,                0.65187,                  1.015,                0.69122,                 0.7057,                 0.7293,                0.56164,                0.87046,                0.72714,                  1.025,             8.8578e-05,             8.8578e-05,             8.8578e-05
                    128,                 0.8691,                0.64402,                 1.0095,                0.72781,                0.70141,                0.73297,                0.56486,                0.87614,                0.72366,                 1.0292,             8.5107e-05,             8.5107e-05,             8.5107e-05
                    129,                0.86922,                0.64585,                 1.0146,                0.64699,                0.74105,                0.73285,                0.56289,                0.87193,                0.72666,                 1.0268,             8.1635e-05,             8.1635e-05,             8.1635e-05
