                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.72326,                0.45387,                0.95583,                0.79989,                0.78518,                0.81405,                0.65931,                0.78813,                0.64301,                0.99522,             0.00020661,             0.00020661,             0.00020661
                     94,                0.71915,                0.44704,                0.95662,                0.82711,                0.77644,                0.81462,                0.66061,                0.78934,                0.64359,                0.99554,             0.00020314,             0.00020314,             0.00020314
                     95,                0.71444,                0.44189,                0.95292,                0.82086,                0.78074,                0.81292,                0.65697,                0.78331,                0.64028,                0.99384,             0.00019967,             0.00019967,             0.00019967
                     96,                0.71476,                0.44129,                0.95149,                0.81041,                0.79236,                0.81059,                0.65622,                   0.79,                0.64323,                0.99519,              0.0001962,              0.0001962,              0.0001962
                     97,                0.71398,                0.43822,                0.95345,                0.79463,                0.78617,                 0.8106,                0.65701,                0.78375,                0.64375,                0.99361,             0.00019273,             0.00019273,             0.00019273
                     98,                0.70353,                0.43388,                0.94483,                0.82448,                0.76216,                0.81159,                0.65875,                0.78573,                0.64683,                0.99475,             0.00018925,             0.00018925,             0.00018925
                     99,                0.70632,                0.43306,                0.94587,                0.81627,                0.78375,                0.81787,                0.66235,                0.78466,                0.64667,                0.99375,             0.00018578,             0.00018578,             0.00018578
                    100,                0.70425,                0.43171,                0.94881,                0.81314,                0.78295,                0.81516,                0.66157,                0.78493,                0.64915,                0.99312,             0.00018231,             0.00018231,             0.00018231
                    101,                0.70402,                0.42448,                0.94431,                0.80582,                0.79016,                0.81359,                0.65723,                0.78532,                0.65058,                0.99298,             0.00017884,             0.00017884,             0.00017884
                    102,                0.69827,                0.42586,                0.94621,                0.79658,                 0.7965,                0.81331,                 0.6601,                 0.7829,                0.64916,                0.99185,             0.00017537,             0.00017537,             0.00017537
                    103,                0.69381,                0.42346,                 0.9446,                0.83984,                0.76644,                0.81135,                0.65728,                0.78794,                0.64574,                0.99362,              0.0001719,              0.0001719,              0.0001719
                    104,                0.69381,                0.41796,                0.94418,                0.82871,                0.77345,                0.81301,                0.65979,                0.78186,                0.64767,                0.99059,             0.00016843,             0.00016843,             0.00016843
                    105,                0.69737,                 0.4174,                0.94295,                0.82254,                 0.7611,                0.81045,                0.65592,                0.78546,                0.64958,                0.99385,             0.00016495,             0.00016495,             0.00016495
                    106,                0.68891,                0.41288,                0.93908,                0.81216,                0.77282,                0.80866,                0.65697,                0.78088,                0.65024,                0.99154,             0.00016148,             0.00016148,             0.00016148
                    107,                0.68754,                0.41172,                0.93924,                0.83561,                0.75224,                0.80785,                0.65676,                0.78007,                0.65002,                0.99062,             0.00015801,             0.00015801,             0.00015801
                    108,                0.68497,                0.41122,                0.93868,                0.83601,                0.76954,                0.81249,                0.66044,                0.78031,                  0.649,                0.99047,             0.00015454,             0.00015454,             0.00015454
                    109,                0.67929,                0.40687,                0.93536,                0.85361,                0.76165,                0.81165,                0.65656,                0.78277,                0.65604,                0.99158,             0.00015107,             0.00015107,             0.00015107
                    110,                0.67769,                0.40544,                0.93696,                0.83044,                0.76852,                0.81318,                0.65865,                0.77931,                0.65098,                0.98977,              0.0001476,              0.0001476,              0.0001476
                    111,                0.67903,                0.40224,                0.93695,                0.81421,                0.78206,                0.81449,                0.66217,                0.77993,                0.65192,                 0.9909,             0.00014412,             0.00014412,             0.00014412
                    112,                 0.6734,                0.40067,                0.93329,                0.82484,                0.77733,                0.81263,                0.65932,                0.78398,                0.65427,                 0.9935,             0.00014065,             0.00014065,             0.00014065
                    113,                0.67307,                0.39734,                0.93416,                0.82427,                0.77282,                0.81086,                0.65829,                 0.7859,                0.65649,                0.99406,             0.00013718,             0.00013718,             0.00013718
                    114,                0.66902,                0.39686,                 0.9326,                0.84374,                0.77368,                0.81576,                0.65915,                0.78358,                0.65107,                0.99239,             0.00013371,             0.00013371,             0.00013371
                    115,                0.66416,                0.38878,                0.93069,                0.83685,                0.77764,                0.81889,                0.66221,                0.78297,                0.65001,                0.99221,             0.00013024,             0.00013024,             0.00013024
                    116,                0.66311,                0.39216,                0.92731,                0.81949,                0.78233,                0.81492,                0.65907,                0.78225,                0.65337,                0.99164,             0.00012677,             0.00012677,             0.00012677
                    117,                 0.6619,                0.38778,                0.92782,                 0.8382,                0.76054,                0.80933,                0.65536,                0.78568,                0.65743,                0.99301,             0.00012329,             0.00012329,             0.00012329
                    118,                0.65801,                0.38494,                0.92634,                0.83823,                0.76414,                0.80989,                0.65577,                0.78446,                0.65906,                0.99317,             0.00011982,             0.00011982,             0.00011982
                    119,                0.65597,                0.38495,                 0.9269,                0.81865,                0.76644,                0.81074,                0.65665,                0.78419,                0.65818,                0.99281,             0.00011635,             0.00011635,             0.00011635
                    120,                0.65568,                0.38476,                0.92584,                0.81946,                0.78001,                0.81139,                0.65758,                0.78445,                0.65689,                0.99277,             0.00011288,             0.00011288,             0.00011288
                    121,                0.65129,                0.38186,                 0.9255,                0.83761,                0.76719,                0.81024,                0.65483,                0.78626,                0.66029,                0.99406,             0.00010941,             0.00010941,             0.00010941
                    122,                0.64994,                0.38053,                 0.9217,                0.83122,                0.77234,                0.81161,                0.65637,                0.78836,                0.65758,                0.99518,             0.00010594,             0.00010594,             0.00010594
                    123,                0.64835,                0.38116,                 0.9224,                0.80943,                0.78538,                0.81138,                 0.6557,                0.78601,                0.65829,                0.99438,             0.00010246,             0.00010246,             0.00010246
                    124,                0.64791,                0.37736,                0.92189,                0.82766,                0.78059,                0.81274,                  0.655,                0.78557,                0.66229,                0.99344,             9.8993e-05,             9.8993e-05,             9.8993e-05
                    125,                 0.6427,                0.37505,                0.91902,                 0.8303,                0.76867,                0.81176,                0.65685,                0.78391,                0.66032,                 0.9929,             9.5522e-05,             9.5522e-05,             9.5522e-05
                    126,                0.64446,                0.37427,                0.91822,                0.84538,                0.76246,                0.81421,                0.65464,                0.78426,                0.65996,                0.99345,              9.205e-05,              9.205e-05,              9.205e-05
                    127,                0.63832,                0.37147,                0.91953,                0.81879,                0.78189,                0.81383,                0.65474,                0.78339,                 0.6608,                0.99332,             8.8578e-05,             8.8578e-05,             8.8578e-05
                    128,                0.63444,                0.36664,                0.91653,                0.82742,                0.78053,                  0.815,                0.65751,                0.78403,                0.66199,                0.99336,             8.5107e-05,             8.5107e-05,             8.5107e-05
                    129,                0.63316,                0.36769,                0.91952,                 0.8117,                0.78451,                0.81555,                0.65742,                0.78419,                 0.6631,                0.99348,             8.1635e-05,             8.1635e-05,             8.1635e-05
                    130,                0.63074,                0.36617,                0.91748,                0.84032,                0.76442,                0.81726,                0.65764,                0.78447,                 0.6652,                0.99316,             7.8164e-05,             7.8164e-05,             7.8164e-05
                    131,                0.62723,                0.36528,                0.91611,                0.85017,                0.75613,                0.81705,                  0.659,                0.78634,                0.66496,                0.99404,             7.4692e-05,             7.4692e-05,             7.4692e-05
                    132,                0.62594,                0.36177,                0.91293,                0.78564,                0.79855,                 0.8162,                0.65666,                0.78581,                0.66524,                 0.9942,              7.122e-05,              7.122e-05,              7.122e-05
                    133,                0.62435,                0.36097,                0.91203,                0.79848,                0.78989,                0.81332,                0.65588,                0.78492,                0.66667,                0.99396,             6.7749e-05,             6.7749e-05,             6.7749e-05
                    134,                0.62077,                0.36022,                0.91298,                0.81032,                0.78022,                0.81298,                0.65453,                0.78508,                0.66906,                0.99398,             6.4277e-05,             6.4277e-05,             6.4277e-05
                    135,                0.62466,                0.36019,                0.91091,                0.83028,                 0.7653,                0.81439,                0.65506,                0.78522,                0.67028,                0.99389,             6.0806e-05,             6.0806e-05,             6.0806e-05
                    136,                0.62016,                0.35791,                0.91206,                0.80208,                0.78465,                0.81261,                0.65529,                 0.7871,                0.67096,                0.99514,             5.7334e-05,             5.7334e-05,             5.7334e-05
                    137,                0.61831,                0.35708,                 0.9114,                0.81486,                0.78034,                0.81412,                0.65765,                0.78724,                0.66911,                 0.9951,             5.3862e-05,             5.3862e-05,             5.3862e-05
