                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.81569,                0.58436,                0.99547,                0.79776,                0.75056,                0.79238,                0.62704,                0.82699,                0.65689,                 1.0099,             0.00031423,             0.00031423,             0.00031423
                     63,                0.80984,                0.57628,                0.99599,                0.77414,                0.72525,                0.78712,                0.62189,                0.83598,                  0.656,                 1.0144,             0.00031076,             0.00031076,             0.00031076
                     64,                0.81264,                0.57201,                0.99441,                 0.8042,                0.73004,                0.79646,                0.62942,                0.83768,                0.65129,                 1.0139,             0.00030729,             0.00030729,             0.00030729
                     65,                0.81039,                0.57115,                0.99502,                0.76046,                0.75221,                0.79513,                  0.635,                0.80968,                0.64364,                 1.0018,             0.00030382,             0.00030382,             0.00030382
                     66,                0.80565,                0.56654,                0.99165,                0.78197,                0.74683,                 0.7939,                0.63324,                0.81102,                0.64592,                 1.0031,             0.00030035,             0.00030035,             0.00030035
                     67,                0.80581,                0.56037,                0.99296,                0.77979,                0.75669,                0.79469,                0.62671,                0.82935,                0.64464,                 1.0067,             0.00029687,             0.00029687,             0.00029687
                     68,                0.80489,                0.55782,                0.98881,                0.76851,                0.73883,                0.78121,                 0.6217,                0.83322,                 0.6535,                 1.0108,              0.0002934,              0.0002934,              0.0002934
                     69,                 0.8001,                0.55588,                0.99072,                0.78763,                0.75364,                0.79986,                0.63188,                0.81848,                0.63787,                 1.0059,             0.00028993,             0.00028993,             0.00028993
                     70,                0.79288,                0.54807,                0.98855,                0.74156,                0.78025,                0.79983,                 0.6376,                0.82108,                0.64404,                 1.0044,             0.00028646,             0.00028646,             0.00028646
                     71,                    0.8,                0.54513,                0.98616,                0.79604,                0.76962,                0.80485,                0.63941,                0.81055,                0.63733,                 1.0014,             0.00028299,             0.00028299,             0.00028299
